distance_hip lat_BHand lat_y,distance_shoulder lat_BHand lat_y
distance_BP left ventral_hip mid ventral_y,distance_BP right ventral_hip mid ventral_y
distance_FP left ventral_hip mid ventral_y,distance_FP right ventral_hip mid ventral_y
